2011-10-07 11:11:18 Notice: Notice (8): Undefined index: q2_a$i in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:18 Notice: Notice (8): Undefined index: q2_a$i in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:18 Notice: Notice (8): Undefined index: q2_a$i in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:11:32 Notice: Notice (8): Undefined index: q2_a7 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:12:07 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 19]
2011-10-07 11:12:07 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 22]
2011-10-07 11:12:07 Notice: Notice (8): Undefined index: q2_a1 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 25]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a11 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a12 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 26]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a2 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 29]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a13 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 26]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a3 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 29]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a14 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 26]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a4 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 29]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a15 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 26]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a5 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 29]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a16 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 26]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a6 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 29]
2011-10-07 11:12:40 Notice: Notice (8): Undefined index: q2_a17 in [/Users/Name/Dropbox/Rounded/Clients/ClearChannel/Survey/app/controllers/surveys_controller.php, line 23]
